SV_TAXONOMY,TAXONOMY_NAME,RG_REFERENCE,RG_NAME,SV_REFERENCE,SV_NAME,SV_DESCRIPTION,SL_REFERENCE,LC_REFERENCE,PHONE_NUMBER,WEBSITE,EMAIL_ADDRESS,WHEELCHAIR_ACCESSIBLE,LANGUAGE,HOURS,STREET_NUMBER,STREET_NAME,STREET_TYPE,STREET_DIRECTION,CITY,PROVINCE,POSTAL_CODE,LATITUDE,LONGITUDE,811_LINK
LN-9300,Walk In Medical Clinics,34460472,Mercy Medical Clinic,34460476,Walk-in Clinic,Provides non-emergency health care services on a walk-in basis. Saturday and Sunday hours are available.,34460478,34460474,7783983080,www.mercymedicalclinics.com,mmccoquitlam@gmail.com,N,,Mon 09:00 - 19:00; Tue 09:00 - 19:00; Wed 09:00 - 19:00; Thu 09:00 - 19:00; Fri 09:00 - 19:00; Sat 09:00 - 13:00; Sun 15:00 - 19:00; Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.,1301 Lougheed Highway,,,,Coquitlam,BC,V3K 6P9,49.235457,-122.856333,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=34460476&SiteResourceAgencyNum=34460474
LN-9300,Walk In Medical Clinics,34460716,Royal Oak Centre Medical Clinic,34460722,Walk-in Clinic,Provides non-emergency health care services on a walk-in basis. Saturday and Sunday hours are available.,34460724,34460720,2504796721,www.victoriamedicalsociety.org/clinic-listings/royal-oak-centre-medical-clinic,roclinic@shaw.ca,N,,Mon 08:00 - 19:00; Tue 08:00 - 19:00; Wed 08:00 - 19:00; Thu 08:00 - 19:00; Fri 08:00 - 19:00; Sat 09:00 - 13:00; Sun 09:00 - 13:00; Please note that hours are subject to physician availability and patient volume. Clinic may stop accepting patients prior to the listed closing time. Closed during statutory holidays.,105-4442 West Saanich Road,,,,Victoria,BC,V8Z 3E9,48.491856,-123.387766,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=34460722&SiteResourceAgencyNum=34460720
LN-9300,Walk In Medical Clinics,34460750,Parkway Medical Clinic,34460757,Walk-in Clinic,Provides non-emergency health care services on a walk-in basis.,34460760,34460754,2505904945,www.health-local.com/biz/medical-clinic/victoria/british-columbia/primacy-parkway-medical-clinic,parkwaymedical.staff@gmail.com,N,,Tue 09:00 - 19:00; Wed 09:00 - 16:00; Thu 09:00 - 19:00; Fri 09:00 - 16:00; Closed on Mondays. Closed Tuesday-Friday from 12:00-13:00. Please note that hours are subject to physician availability and patient volume. Clinic may stop accepting patients prior to the listed closing time.,835 Langford Parkway,,,,Victoria,BC,V9B 4V5,48.441396,-123.504347,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=34460757&SiteResourceAgencyNum=34460754
LN-9300,Walk In Medical Clinics,17652139,Northern Health Authority,17653501,Walk-In Clinic,Provides non-emergency health care services on a walk-in basis.,35554818,35554812,2507995342,,,N,,Mon 10:15 - 16:30; Tue 10:15 - 16:30; Wed 10:15 - 16:30; Thu 10:15 - 16:30; Fri 10:15 - 16:30; Closed 12:00 - 13:00,1025 Elcho Street,,,,Bella Coola,BC,V0T 1C0,52.374165,-126.756676,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653501&SiteResourceAgencyNum=35554812
LN-9300,Walk In Medical Clinics,17652139,Northern Health Authority,17653501,Walk-In Clinic,Provides non-emergency health care services on a walk-in basis.,35554829,35554825,2509572356,,,N,,Mon 10:20 - 16:20; Tue 10:20 - 16:20; Wed 10:20 - 16:20; Thu 10:20 - 16:20; Fri 10:20 - 16:20; Closed 12:00 - 13:00,88 Waglisla Street,,,,Bella Bella,BC,V0T 1Z0,52.169099,-128.143802,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653501&SiteResourceAgencyNum=35554825
LN-9300,Walk In Medical Clinics,17642168,Abbotsford Community Services,17642175,Abbotsford Youth Health Centre,"Provides youth with general health walk-in services and also offers support for mental and sexual health issues in a youth-friendly, safe, confidential and non-judgmental environment. Provides sexually transmitted infections (STI) testing, pap smears, pregnancy tests, minor procedures, support for alcohol issues, and clinical youth counselling. Education on birth control, nutrition, exercise, body image, substance abuse and bullying are also offered. Provides referrals to community resources as necessary.",34802940,34802932,6047463392,www.abbotsfordcommunityservices.com/programs/youth/abbotsford-youth-health-centre,info@ayhc.ca,N,,Tue 16:00 - 19:00;,32900 Marshall Road,,,,Abbotsford,BC,V2S 0C2,49.036864,-122.31195,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17642175&SiteResourceAgencyNum=34802932
LN-9300,Walk In Medical Clinics,17642168,Abbotsford Community Services,17642175,Abbotsford Youth Health Centre,"Provides youth with general health walk-in services and also offers support for mental and sexual health issues in a youth-friendly, safe, confidential and non-judgmental environment. Provides sexually transmitted infections (STI) testing, pap smears, pregnancy tests, minor procedures, support for alcohol issues, and clinical youth counselling. Education on birth control, nutrition, exercise, body image, substance abuse and bullying are also offered. Provides referrals to community resources as necessary.",34802942,34802935,6047463392,www.abbotsfordcommunityservices.com/programs/youth/abbotsford-youth-health-centre,info@ayhc.ca,N,,Wed 12:00 - 15:00;,32622 Marshall Road,,,,Abbotsford,BC,V2T 4A2,49.037478,-122.320521,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17642175&SiteResourceAgencyNum=34802935
LN-9300,Walk In Medical Clinics,17652139,Northern Health Authority,17653501,Walk-In Clinic,Provides non-emergency health care services on a walk-in basis.,35554804,17652355,2508425234,,,N,,Mon 09:00 - 17:00; Tue 09:00 - 17:00; Wed 13:00 - 17:00; Thu 09:00 - 17:00; Fri 09:00 - 17:00; Closed daily 12:00 - 13:00,2510 62 Highway,,,,Hazelton,BC,V0J 1Y0,55.259655,-127.651295,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653501&SiteResourceAgencyNum=17652355
LN-9300,Walk In Medical Clinics,34460472,Mercy Medical Clinic,34460476,Walk-in Clinic,Provides non-emergency health care services on a walk-in basis. Saturday and Sunday hours are available.,37606316,37606282,7783303031,www.mercymedicalclinics.com/mmcdelta.html,mmccoquitlam@gmail.com,N,,Mon 08:00 - 18:30; Tue 08:00 - 18:30; Wed 08:00 - 18:30; Thu 08:00 - 18:30; Fri 08:00 - 18:30; Sat 08:00 - 13:00;,7155 120 Street,,,,Delta,BC,V4E 2B1,49.132875,-122.892594,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=34460476&SiteResourceAgencyNum=37606282
LN-9300,Walk In Medical Clinics,28564403,Chilliwack Division of Family Practice,38012442,Chilliwack Youth Health Centre,"Provides free, drop-in medical health, mental health and social services to youth and young adults, in a youth-friendly, safe, confidential and non-judgmental environment. Family doctors and counsellors are available to provide all aspects of medical, sexual, and mental health care needs. Issues can range anywhere from acne to sexual health to counselling for issues related to anxiety, depression, stress, substance use, gender identity, family conflict, peer conflict, and school and life planning. Provides referrals to community resources as necessary.",38012465,38012403,6048194603,www.chilliwackyhc.com,chilliwackyouthhealthcentre@gmail.com,N,,Tue 13:00 - 19:00; Counsellors available 13:00-19:00; Family Doctor available 16:00-18:00; Pediatrician available 15:00-18:00,46361 Yale Road,,,,Chilliwack,BC,V2P 2P8,49.174548,-121.942917,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=38012442&SiteResourceAgencyNum=38012403
