X,Y,BUSCATCLAS,SUPPLIED_S,SRCDATAID,OCCTYPDESC,BUSCATDESC,DESC,HLTH_SDA_N,LOCALITY,CON_EMAIL,PH_ADDRESS,LOC_HLTH_C,LOC_HLTH_N,KEYWORDS,CUST_ORG,LONGITUDE,HLTH_A_NM,HLTH_A_C,GEOCODE,SITEGEOIND,DATEUPDT,CON_PHONE,SHAPE,SEQUENCE_I,HLTH_SDA_C,LATITUDE,IMAGE_URL,WEB_URL,CON_FAX,POSTAL_COD,ST_ADDRESS,ALIAS_ADDR,OCC_NAME
-122.311695,49.036672,hospitals,Y,609,Hospitals,Hospitals,Hospital,Fraser East,Abbotsford,,"32900 Marshall Road, Abbotsford, BC",34,Abbotsford,Fraser Health Authority,Ministry of Health/Provincial Health Services Authority,-122.311695,Fraser Health Authority,2,Air Photo,,2.01511E+13,604-851-4700,,1,21,49.036672,,,,V2S 0C2,32900 Marshall Road,"32900 Marshall Road, Abbotsford, BC",Abbotsford Regional Hospital
-123.015554,49.249612,hospitals,Y,130,Hospitals,Hospitals,Hospital,Fraser North,Burnaby,,"3935 Kincaid Street, Burnaby, BC",41,Burnaby,Fraser Health Authority,Ministry of Health/Provincial Health Services Authority,-123.015554,Fraser Health Authority,2,Air Photo,,2.01511E+13,604-434-4211,,3,22,49.249612,,,,V5G 2X6,3935 Kincaid Street,"3935 Kincaid Street, Burnaby, BC",Burnaby General Hospital
-121.963504,49.166745,hospitals,Y,601,Hospitals,Hospitals,Hospital,Fraser East,Chilliwack,,"45600 Menholm Road, Chilliwack, BC",33,Chilliwack,Fraser Health Authority,Ministry of Health/Provincial Health Services Authority,-121.963504,Fraser Health Authority,2,Air Photo,,2.01511E+13,604-795-4141,,5,21,49.166745,,,,V2P 1P7,45600 Menholm Road,"45600 Menholm Road, Chilliwack, BC",Chilliwack General Hospital
-123.061729,49.085788,hospitals,Y,134,Hospitals,Hospitals,Hospital,Fraser South,Delta,,"5800 Mountain View Boulevard, Delta, BC",37,Delta,Fraser Health Authority,Ministry of Health/Provincial Health Services Authority,-123.061729,Fraser Health Authority,2,Air Photo,,2.01511E+13,604-946-1121,,7,23,49.085788,,,,V4K 3V6,5800 Mountain View Boulevard,"5800 Mountain View Boulevard, Delta, BC",Delta Centennial Hospital
-122.823625,49.285478,hospitals,Y,136,Hospitals,Hospitals,Hospital,Fraser North,Port Moody,,"475 Guildford Way, Port Moody, BC",43,Coquitlam,Fraser Health Authority,Ministry of Health/Provincial Health Services Authority,-122.823625,Fraser Health Authority,2,Air Photo,,2.01511E+13,604-461-2022,,9,22,49.285478,,,,V3H 3W9,475 Guildford Way,"475 Guildford Way, Port Moody, BC",Eagle Ridge Hospital
-121.423896,49.377254,hospitals,Y,606,Hospitals,Hospitals,Hospital,Fraser East,Hope,,"1275 7th Avenue, Hope, BC",32,Hope,Fraser Health Authority,Ministry of Health/Provincial Health Services Authority,-121.423896,Fraser Health Authority,2,Air Photo,,2.01511E+13,604-869-5656,,11,21,49.377254,,,,V0X 1L4,1275 7th Avenue,"1275 7th Avenue, Hope, BC",Fraser Canyon Hospital
-122.610956,49.094892,hospitals,Y,115,Hospitals,Hospitals,Hospital,Fraser South,Langley,,"22051 Fraser Highway, Langley, BC",35,Langley,Fraser Health Authority,Ministry of Health/Provincial Health Services Authority,-122.610956,Fraser Health Authority,2,Air Photo,,2.01511E+13,604-514-6000,,13,23,49.094892,,,,V3A 4H4,22051 Fraser Highway,"22051 Fraser Highway, Langley, BC",Langley Memorial Hospital
-122.330837,49.135098,hospitals,Y,602,Hospitals,Hospitals,Hospital,Fraser East,Mission,,"7324 Hurd Avenue, Mission, BC",75,Mission,Fraser Health Authority,Ministry of Health/Provincial Health Services Authority,-122.330837,Fraser Health Authority,2,Air Photo,,2.01511E+13,604-826-6261,,15,21,49.135098,,,,V2V 3H5,7324 Hurd Avenue,"7324 Hurd Avenue, Mission, BC",Mission Memorial Hospital
-122.792281,49.029983,hospitals,Y,131,Hospitals,Hospitals,Hospital,Fraser South,White Rock,,"15521 Russell Avenue, White Rock, BC",202,South Surrey/White Rock,Fraser Health Authority,Ministry of Health/Provincial Health Services Authority,-122.792281,Fraser Health Authority,2,Air Photo,,2.01511E+13,604-531-5512,,17,23,49.029983,,,,V4B 2R4,15521 Russell Avenue,"15521 Russell Avenue, White Rock, BC",Peace Arch District Hospital
-122.629702,49.215972,hospitals,Y,604,Hospitals,Hospitals,Hospital,Fraser North,Maple Ridge,,"11666 Laity Street, Maple Ridge, BC",42,Maple Ridge,Fraser Health Authority,Ministry of Health/Provincial Health Services Authority,-122.629702,Fraser Health Authority,2,Air Photo,,2.01511E+13,604-463-4111,,19,22,49.215972,,,,V2X 7G5,11666 Laity Street,"11666 Laity Street, Maple Ridge, BC",Ridge Meadows Hospital
