SV_TAXONOMY,TAXONOMY_NAME,RG_REFERENCE,RG_NAME,SV_REFERENCE,SV_NAME,SV_DESCRIPTION,SL_REFERENCE,LC_REFERENCE,PHONE_NUMBER,WEBSITE,EMAIL_ADDRESS,WHEELCHAIR_ACCESSIBLE,LANGUAGE,HOURS,STREET_NUMBER,CITY,PROVINCE,POSTAL_CODE,LATITUDE,LONGITUDE,811_LINK
LD-1700,Emergency Room Care,17643939,BC Children's Hospital,17643949,Emergency Department,Provides emergency medical care for children 0 - 16 years of age.,17643951,17643950,6048752045,www.bcchildrens.ca/our-services/hospital-services/emergency-services,,N,Interpreter services available,24 hours a day/ 7 days a week,4480 Oak Street,Vancouver,BC,V6H 3N1,49.244569,-123.125683,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17643949&SiteResourceAgencyNum=17643950
LD-1700,Emergency Room Care,17644351,Fraser Health Authority,17645045,Emergency Department Services,Provides 24-hour emergency services that address urgent care needs for individuals who walk into the department or are transported there via ground or air ambulance service.,17645046,17644367,6048514700,www.fraserhealth.ca/patients-and-visitors/when-to-use-emergency/,,N,,,32900 Marshall Road,Abbotsford,BC,V2S 0C2,49.038152,-122.313003,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644367
LD-1700,Emergency Room Care,17644351,Fraser Health Authority,17645045,Emergency Department Services,Provides 24-hour emergency services that address urgent care needs for individuals who walk into the department or are transported there via ground or air ambulance service.,17645054,17644353,6044344211,www.fraserhealth.ca/patients-and-visitors/when-to-use-emergency/,,N,,24-Jul,3935 Kincaid Street,Burnaby,BC,V5G 2X6,49.248776,-123.016837,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644353
LD-1700,Emergency Room Care,17644351,Fraser Health Authority,17645045,Emergency Department Services,Provides 24-hour emergency services that address urgent care needs for individuals who walk into the department or are transported there via ground or air ambulance service.,17645048,17644355,6047954141,www.fraserhealth.ca/patients-and-visitors/when-to-use-emergency/,,N,,,45600 Menholm Road,Chilliwack,BC,V2P 1P7,49.165763,-121.962422,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644355
LD-1700,Emergency Room Care,17644351,Fraser Health Authority,17645045,Emergency Department Services,Provides 24-hour emergency services that address urgent care needs for individuals who walk into the department or are transported there via ground or air ambulance service.,17645057,17644361,6049461121,www.fraserhealth.ca/patients-and-visitors/when-to-use-emergency/,,N,,,5800 Mountain View Boulevard,Delta,BC,V4K 3V6,49.08461,-123.059929,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644361
LD-1700,Emergency Room Care,17644351,Fraser Health Authority,17645045,Emergency Department Services,Provides 24-hour emergency services that address urgent care needs for individuals who walk into the department or are transported there via ground or air ambulance service.,17645053,17644357,6044612022,www.fraserhealth.ca/patients-and-visitors/when-to-use-emergency/,,N,,24-Jul,475 Guildford Way,Port Moody,BC,V3H 3W9,49.283374,-122.823597,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644357
LD-1700,Emergency Room Care,17644351,Fraser Health Authority,17645045,Emergency Department Services,Provides 24-hour emergency services that address urgent care needs for individuals who walk into the department or are transported there via ground or air ambulance service.,17645049,17644442,6048695656,www.fraserhealth.ca/patients-and-visitors/when-to-use-emergency/,,Y,English and Translations services are available through FH resources,Open 24/7,1275 7th Avenue,Hope,BC,V0X 1L4,49.376899,-121.424345,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644442
LD-1700,Emergency Room Care,17644351,Fraser Health Authority,17645045,Emergency Department Services,Provides 24-hour emergency services that address urgent care needs for individuals who walk into the department or are transported there via ground or air ambulance service.,17645050,17644429,6045344121,www.fraserhealth.ca/patients-and-visitors/when-to-use-emergency/,,Y,,,22051 Fraser Highway,Langley,BC,V3A 4H4,49.093175,-122.613957,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644429
LD-1700,Emergency Room Care,17644351,Fraser Health Authority,17645045,Emergency Department Services,Provides 24-hour emergency services that address urgent care needs for individuals who walk into the department or are transported there via ground or air ambulance service.,17645055,17644460,6048266261,www.fraserhealth.ca/patients-and-visitors/when-to-use-emergency/,,Y,,,7324 Hurd Street,Mission,BC,V2V 3H5,49.135186,-122.331733,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644460
LD-1700,Emergency Room Care,17644351,Fraser Health Authority,17645045,Emergency Department Services,Provides 24-hour emergency services that address urgent care needs for individuals who walk into the department or are transported there via ground or air ambulance service.,17645056,17644418,6045315512,www.fraserhealth.ca/patients-and-visitors/when-to-use-emergency/,,N,,,15521 Russell Avenue,White Rock,BC,V4B 2R4,49.029793,-122.793632,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644418
