Notes:,
1,Citizenship refers to the legal citizenship status of a person. Citizenship can be by birth or naturalization. A person may have more than one citizenship. A person may be stateless that is they may have no citizenship.
2,Includes persons who are stateless.
3,Period of immigration refers to the period in which the immigrant first obtained his or her landed immigrant/permanent resident status. A landed immigrant/permanent resident refers to a person who has been granted the right to live permanently in Canada by immigration authorities.
4,Non-immigrant refers to a person who is a Canadian citizen by birth.
5,Immigrant refers to a person who is or has ever been a landed immigrant/permanent resident. This person has been granted the right to live in Canada permanently by immigration authorities. Some immigrants have resided in Canada for a number of years while others have arrived recently. Some immigrants are Canadian citizens while others are not. Most immigrants are born outside Canada but a small number are born in Canada. In the 2011 National Household Survey 'Immigrants' includes immigrants who landed in Canada prior to May 10 2011.
6,Includes immigrants who landed in Canada prior to May 10 2011.
7,Non-permanent resident refers to a person from another country who has a work or study permit or who is a refugee claimant and any non-Canadian-born family member living in Canada with them.
8,Age at immigration refers to the age at which an immigrant first obtained landed immigrant/permanent resident status. Immigrant refers to a person who is or has ever been a landed immigrant/permanent resident. This person has been granted the right to live permanently in Canada by immigration authorities.
9,The places of birth selected are the most frequently reported by immigrants at the Canada level.
10,Non-immigrant refers to a person who is a Canadian citizen by birth.
11,Immigrant refers to a person who is or has ever been a landed immigrant/permanent resident. This person has been granted the right to live in Canada permanently by immigration authorities. Some immigrants have resided in Canada for a number of years while others have arrived recently. Some immigrants are Canadian citizens while others are not. Most immigrants are born outside Canada but a small number are born in Canada. In the 2011 National Household Survey 'Immigrants' includes immigrants who landed in Canada prior to May 10 2011.
12,The official name of United Kingdom is United Kingdom of Great Britain and Northern Ireland. United Kingdom includes Scotland Wales England and Northern Ireland (excludes Isle of Man the Channel Islands and British Overseas Territories).
13,China excludes Hong Kong Special Administrative Region and Macao Special Administrative Region.
14,The official name of Viet Nam is Socialist Republic of Viet Nam.
15,The official name of Iran is Islamic Republic of Iran.
16,The official name of South Korea is Republic of Korea.
17,The category 'Oceania and other' includes places of birth in Oceania and responses not included elsewhere such as 'born at sea.'
18,The category 'Other places of birth' includes other places of birth in Oceania and responses not included elsewhere such as 'born at sea.'
19,Non-permanent resident refers to a person from another country who has a work or study permit or who is a refugee claimant and any non-Canadian-born family member living in Canada with them.
20,Recent immigrants are immigrants who landed in Canada between January 1 2006 and  May 10 2011.  Immigrant refers to a person who is or has ever been a landed immigrant/permanent resident. This person has been granted the right to live in Canada permanently by immigration authorities. Some immigrants have resided in Canada for a number of years while others have arrived recently. Some immigrants are Canadian citizens while others are not. Most immigrants are born outside Canada but a small number are born in Canada.  The places of birth selected are the most frequently reported by recent immigrants at the Canada level.
21,The official name of Venezuela is Bolivarian Republic of Venezuela.
22,The official name of Moldova is Republic of Moldova.
23,The official name of Syria is Syrian Arab Republic.
24,Generation status refers to whether or not the person or the person's parents were born in Canada. It identifies persons as being first generation second generation or third generation or more.
25,'First generation' includes persons who were born outside Canada. For the most part these are people who are now or have ever been immigrants to Canada.
26,'Second generation' includes persons who were born in Canada and had at least one parent born outside Canada. For the most part these are the children of immigrants.
27,'Third generation or more' includes persons who were born in Canada with both parents born in Canada.
28,The Employment Equity Act defines visible minorities as 'persons other than Aboriginal peoples who are non-Caucasian in race or non-white in colour.'
29,For example 'East Indian' 'Pakistani' 'Sri Lankan' etc.
30,For example 'Vietnamese' 'Cambodian' 'Malaysian' 'Laotian' etc.
31,For example 'Iranian' 'Afghan' etc.
32,The abbreviation 'n.i.e.' means 'not included elsewhere.' Includes respondents who reported a write-in response such as 'Guyanese' 'West Indian' 'Tibetan' 'Polynesian' 'Pacific Islander' etc.
33,Includes respondents who reported more than one visible minority group by checking two or more mark-in circles e.g. 'Black' and 'South Asian.'
34,Includes respondents who reported 'Yes' to the Aboriginal identity question (Question 18) as well as respondents who were not considered to be members of a visible minority group.
35,This is a total population estimate.  The sum of the ethnic groups in this table is greater than the total population estimate because a person may report more than one ethnic origin in the NHS.
36,Includes general responses indicating North American origins (e.g. 'North American') as well as more specific responses indicating North American origins that have not been included elsewhere (e.g. 'Maritimer' 'Manitoban').
37,Includes general responses indicating British Isles origins (e.g. 'British' 'United Kingdom') as well as more specific responses indicating British Isles origins that have not been included elsewhere (e.g. 'Celtic').
38,Includes general responses indicating Western European origins (e.g. 'Western European') as well as more specific responses indicating Western European origins that have not been included elsewhere (e.g. 'Liechtensteiner').
39,Includes general responses indicating Northern European origins (e.g. 'Northern European') as well as more specific responses indicating Northern European origins that have not been included elsewhere (e.g. 'Faroese' 'Scandinavian').
40,Includes general responses indicating Eastern European origins (e.g. 'Eastern European') as well as more specific responses indicating Eastern European origins that have not been included elsewhere (e.g. 'Baltic').
41,Includes general responses indicating Southern European origins (e.g. 'Southern European') as well as more specific responses indicating Southern European origins that have not been included elsewhere (e.g. 'Gibraltarian').
42,Includes general responses indicating Other European origins (e.g. 'European') as well as more specific responses indicating European origins that have not been included elsewhere (e.g. 'Central European').
43,Includes general responses indicating Caribbean origins (e.g. 'Caribbean') as well as more specific responses indicating Caribbean origins that have not been included elsewhere (e.g. 'Guadelupian' 'Aruban').
44,Includes general responses indicating Latin Central or South American origins (e.g. 'South American') as well as more specific responses indicating Latin Central or South American origins that have not been included elsewhere (e.g. 'Surinamese').
45,Includes general responses indicating Central or West African origins (e.g. 'West African') as well as more specific responses indicating Central or West African origins that have not been included elsewhere (e.g. 'Ewe' 'Wolof').
46,Includes general responses indicating North African origins (e.g. 'North African') as well as more specific responses indicating North African origins that have not been included elsewhere (e.g. 'Maghreb').
47,Includes general responses indicating Southern or East African origins (e.g. 'East African') as well as more specific responses indicating Southern or East African origins that have not been included elsewhere (e.g. 'Hutu' 'Shona').
48,Some respondents may choose to provide very specific ethnic origins in the National Household Survey (NHS) while other respondents may choose to give more general responses. This means that two respondents with the same ethnic ancestry could have different response patterns and thus could be counted as having different ethnic origins. For example one respondent may report 'East Indian' ethnic origin while another respondent with a similar ancestral background may report 'Punjabi' or 'South Asian' origins; one respondent may report 'Black' while another similar respondent may report 'Ghanaian' or 'African.' As a result ethnic origin data are very fluid and counts for certain origins such as 'East Indian' and 'Black' may seem lower than initially expected. Users who wish to obtain broader response counts may wish to combine data for one or more ethnic origins together or use counts for ethnic categories such as 'South Asian origins' or 'African origins.' (Please note however that 'African origins' should not be considered equivalent to the 'Black' population group or visible minority status as there are persons reporting African origins who report a population group or visible minority status other than 'Black.' Conversely many people report a population group or visible minority status of 'Black' and do not report having 'African' origins. For information on population group and visible minority population in the 2011 NHS refer to the appropriate definitions in this publication.)
49,Includes general responses indicating Other African origins (e.g. 'African') as well as more specific responses indicating Other African origins that have not been included elsewhere (e.g. 'Saharan').
50,Includes general responses indicating West Asian Central Asian and Middle Eastern origins (e.g. 'West Asian' 'Middle Eastern') as well as more specific responses indicating West Asian Central Asian and Middle Eastern origins that have not been included elsewhere (e.g. 'Baloch' 'Circassian').
51,Includes general responses indicating South Asian origins (e.g. 'South Asian') as well as more specific responses indicating South Asian origins that have not been included elsewhere (e.g. 'Bhutanese').
52,Includes general responses indicating East and Southeast Asian origins (e.g. 'Southeast Asian') as well as more specific responses indicating East and Southeast Asian origins that have not been included elsewhere (e.g. 'Bruneian' 'Karen').
53,Includes general responses indicating Other Asian origins (e.g. 'Asian') as well as more specific responses indicating Other Asian origins that have not been included elsewhere (e.g. 'Eurasian').
54,Includes general responses indicating Pacific Islands origins (e.g. 'Pacific Islander') as well as more specific responses indicating Pacific Islands origins that have not been included elsewhere (e.g. 'Tahitian').
55,Religion refers to the person's self-identification as having a connection or affiliation with any religious denomination group body sect cult or other religiously defined community or system of belief. Religion is not limited to formal membership in a religious organization or group. Persons without a religious connection or affiliation can self-identify as atheist agnostic or humanist or can provide another applicable response.
56,'Aboriginal identity' includes persons who reported being an Aboriginal person that is First Nations (North American Indian) Métis or Inuk (Inuit) and/or those who reported Registered or Treaty Indian status that is registered under the Indian Act of Canada and/or those who reported membership in a First Nation or Indian band. Aboriginal peoples of Canada are defined in the Constitution Act 1982 section 35 (2) as including the Indian Inuit and Métis peoples of Canada.
57,Users should be aware that the estimates associated with this variable are more affected than most by the incomplete enumeration of certain Indian reserves and Indian settlements in the National Household Survey (NHS). In 2011 there were a total of 36 Indian reserves and Indian settlements that were 'incompletely enumerated' in the NHS. For these reserves or settlements NHS enumeration was either not permitted or was interrupted before it could be completed or was not possible because of natural events (specifically forest fires in Northern Ontario). For additional information please refer to the Aboriginal Peoples Reference Guide National Household Survey (NHS) 2011.
58,'Multiple Aboriginal identities' includes persons who reported being any two or all three of the following: First Nations (North American Indian) Métis or Inuk (Inuit).
59,'Aboriginal identities not included elsewhere' includes persons who did not report being First Nations (North American Indian) Métis or Inuk (Inuit) but who did report Registered or Treaty Indian status and/or membership in a First Nation or Indian band.
60,Registered or Treaty Indian status refers to whether or not a person reported being a Registered or Treaty Indian.' Registered or Treaty Indian' includes persons who reported being a Registered or Treaty Indian in Question 20. Registered Indians are persons who are registered under the Indian Act of Canada. Treaty Indians are persons who belong to a First Nation or Indian band that signed a treaty with the Crown. Registered or Treaty Indians are sometimes also called Status Indians.
61,This is a total population estimate. The sum of the ancestries in this table is greater than the total population estimate because a person may report more than one ancestry (ethnic origin) in the National Household Survey.
62,'Aboriginal ancestry' includes persons who reported one or more than one of First Nations (North American Indian) Métis or Inuit ancestry in Question 17 either with or without also reporting a non-Aboriginal ancestry.  The sum of the categories 'First Nations (North American Indian) ancestry' 'Métis ancestry' and 'Inuit ancestry' is thus greater than the sum of the total for 'Aboriginal ancestry' because persons who reported more than one Aboriginal ancestry are included in the response category for each Aboriginal ancestry they reported. All respondents with Aboriginal ancestry are counted in at least one of the categories 'First Nations (North American Indian) ancestry' 'Métis ancestry' and 'Inuit ancestry' and also in the category 'Aboriginal ancestry.' Aboriginal peoples of Canada are defined in the Constitution Act 1982 section 35 (2) as including the Indian Inuit and Métis peoples of Canada. Ancestry refers to the ethnic or cultural origins of the respondent's ancestors an ancestor being usually more distant than a grandparent. A person can have more than one ethnic or cultural origin.
