trans_period,DevelopmentRegion,RegionalDistrict,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT
2016-10-01,Cariboo,CARIBOO,36,34,6,,,,23,1,,4,,,,,2,,,5402476,150068.8,112500,64634.76,1125
2016-10-08,Cariboo,CARIBOO,33,31,11,,2,,13,,1,4,,,,,,,2,6152072,186426.4,183700,76265.73,1837
2016-10-15,Cariboo,CARIBOO,37,34,7,,3,1,21,1,,1,2,,,2,1,,,6927523,187230.4,130000,90901.43,1300
2016-10-22,Cariboo,CARIBOO,60,59,17,,2,,13,3,,24,1,1,,,,,,17015117,283585.3,236000,246395.17,2720
2016-10-01,Cariboo,FRASER-FORT GEORGE,50,47,7,,,,36,,,4,3,2,,1,,,,11385320,227706.4,241201.5,137929.58,2352.5
2016-10-08,Cariboo,FRASER-FORT GEORGE,67,62,20,,4,,30,4,,4,2,2,,,,2,1,16095434,240230.4,220000,209950.04,2400
2016-10-15,Cariboo,FRASER-FORT GEORGE,44,43,9,,,,30,2,,2,,,,,,,1,10821861,245951.4,257750,125853.44,2649
2016-10-22,Cariboo,FRASER-FORT GEORGE,95,89,10,1,,1,50,2,,25,6,2,,4,,,,26991545,284121.5,256500,362674.05,3000
2016-10-01,Kootenay,CENTRAL KOOTENAY,33,27,6,,,,17,1,,3,1,1,,,4,,1,6483362,196465.5,150000,86696.61,1500
2016-10-08,Kootenay,CENTRAL KOOTENAY,27,26,5,1,,,18,2,,,,,,,1,,,6889674,255173.1,260000,86510.5,2960
2016-10-15,Kootenay,CENTRAL KOOTENAY,32,29,2,1,1,,13,2,,10,1,1,,,1,1,,9505175,297036.7,278750,116748.76,3372
2016-10-22,Kootenay,CENTRAL KOOTENAY,88,86,6,,,,29,3,,48,,,,,1,1,,29250131,332387.9,330500,341626.42,3591
2016-10-01,Kootenay,EAST KOOTENAY,42,42,7,1,,,22,7,1,4,,,,,,,,10422653,248158.4,230000,146703.06,2600
2016-10-08,Kootenay,EAST KOOTENAY,68,63,4,,,,50,5,,4,2,2,,,2,,1,17005238,250077,230000,218721.41,2600
2016-10-15,Kootenay,EAST KOOTENAY,28,21,1,,,,9,5,,6,,,,,6,1,,5789985,206785.2,215000,74440.6,2300
2016-10-22,Kootenay,EAST KOOTENAY,68,65,2,,,,38,9,,16,3,2,,1,,,,19169905,281910.4,217700,265378.02,2274
2016-10-01,Kootenay,KOOTENAY BOUNDARY,10,9,,,,,9,,,,1,,,1,,,,1577800,157780,152000,13218,1371.5
2016-10-08,Kootenay,KOOTENAY BOUNDARY,25,25,3,,,,20,,,2,,,,,,,,4831117,193244.7,180000,57912.84,1800
