trans_period,DevelopmentRegion,RegionalDistrict,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT
2016-08-01,Cariboo,CARIBOO,31,25,11,,,,14,,,,,,,,,6,,6055800,195348.4,193000,74326,1930
2016-08-08,Cariboo,CARIBOO,37,36,11,,,,22,2,,1,1,1,,,,,,7085750,191506.8,196000,89058.5,1960
2016-08-15,Cariboo,CARIBOO,64,58,15,1,,,39,3,,,,,,,2,4,,14115079,220548.1,230500,188461.27,2610
2016-08-22,Cariboo,CARIBOO,77,73,23,,2,1,44,2,,1,,,,,2,2,,16464950,213830.5,215000,205512,2300
2016-08-01,Cariboo,FRASER-FORT GEORGE,49,45,5,1,,1,34,2,,2,2,2,,,,,2,17219031,351408.8,246095.2,270739.62,2921.9
2016-08-08,Cariboo,FRASER-FORT GEORGE,39,38,12,,,,23,2,,1,,,,,,1,,8039000,206128.2,229900,102928,2598
2016-08-15,Cariboo,FRASER-FORT GEORGE,67,66,16,,1,,45,2,,2,1,,,1,,,,17851408,266438.9,248500,245412.37,2970
2016-08-22,Cariboo,FRASER-FORT GEORGE,123,116,17,,,,87,11,,1,2,2,,,5,,,28850198,234554.5,238000,360039.31,2640
2016-08-01,Kootenay,CENTRAL KOOTENAY,38,37,9,,,,24,4,,,1,1,,,,,,13140966,345814.9,331000,180851.8,4510
2016-08-08,Kootenay,CENTRAL KOOTENAY,24,24,5,2,,1,13,3,,,,,,,,,,5606450,233602.1,217500,72726,2350
2016-08-15,Kootenay,CENTRAL KOOTENAY,50,46,8,1,,,34,3,,,4,4,,,,,,15566100,311322,255000,222310.54,3075
2016-08-22,Kootenay,CENTRAL KOOTENAY,71,66,12,1,,,47,2,,4,1,1,,,2,,2,20009272,281820.7,278000,253291.44,3000
2016-08-01,Kootenay,EAST KOOTENAY,34,31,,,,,24,7,,,2,1,,1,,,1,17017650,500519.1,266250,322299.5,3325
2016-08-08,Kootenay,EAST KOOTENAY,21,17,1,,,1,13,2,,,2,1,,1,1,1,,5912061,281526.7,260000,85970.61,3200
2016-08-15,Kootenay,EAST KOOTENAY,56,54,2,,1,1,36,12,,2,1,1,,,1,,,14615030,260982.7,235750,195281.3,2470
2016-08-22,Kootenay,EAST KOOTENAY,58,55,4,,,2,30,14,1,4,2,1,,1,1,,,18440277,317935.8,226000,266767.77,2470
2016-08-01,Kootenay,KOOTENAY BOUNDARY,11,10,1,,,,7,2,,,1,1,,,,,,1899000,172636.4,149500,22280,1495
2016-08-08,Kootenay,KOOTENAY BOUNDARY,18,15,5,,,1,9,,,,3,3,,,,,,4089200,227177.8,231750,51017,2635
2016-08-15,Kootenay,KOOTENAY BOUNDARY,20,20,1,,,,16,2,,1,,,,,,,,5028667,251433.3,161250,71156.67,1612.5
2016-08-22,Kootenay,KOOTENAY BOUNDARY,41,38,5,,,,29,4,,,3,3,,,,,,8251000,201243.9,170000,103900,1700
2016-08-01,Mainland/Southwest,FRASER VALLEY,219,210,6,,5,1,130,51,,17,5,3,1,1,2,2,,125693156,573941.4,380000,2182449.63,5170
2016-08-08,Mainland/Southwest,FRASER VALLEY,175,172,12,7,4,,86,53,2,8,,,,,3,,,82904543,473740.2,436000,1282289.66,6300
2016-08-15,Mainland/Southwest,FRASER VALLEY,238,234,3,1,4,2,142,73,,9,4,3,1,,,,,107591274,452064.2,432000,1612295.48,5970
2016-08-22,Mainland/Southwest,FRASER VALLEY,697,677,30,6,12,,413,191,1,24,9,5,,4,3,5,3,360662896,517450.4,454285.7,5758243.02,6798
2016-08-01,Mainland/Southwest,METRO VANCOUVER,1183,1155,14,,1,8,438,527,9,158,26,6,14,6,2,,,1190341241,1006205.6,638750,23322911.21,10700
2016-08-08,Mainland/Southwest,METRO VANCOUVER,1007,981,6,6,1,8,395,417,11,137,24,8,11,5,1,,1,1053777286,1046452.1,663900,21141798.43,11020
2016-08-15,Mainland/Southwest,METRO VANCOUVER,1526,1506,13,5,7,14,531,649,19,268,18,2,10,6,,1,1,1389630548,910636,626500,26141236.41,10149
2016-08-22,Mainland/Southwest,METRO VANCOUVER,3378,3306,35,12,17,27,1341,1516,13,345,59,17,32,10,,8,5,3237890005,958522.8,668278,63087242.76,11300
2016-08-01,Mainland/Southwest,SQUAMISH-LILLOOET,53,53,2,,,1,17,17,1,15,,,,,,,,33552000,633056.6,427000,578425,6540
2016-08-08,Mainland/Southwest,SQUAMISH-LILLOOET,42,36,1,,,,13,13,5,4,2,,1,1,2,2,,29195276,695125.6,624166.7,501334.57,9865
2016-08-15,Mainland/Southwest,SQUAMISH-LILLOOET,58,52,3,,,,18,23,2,6,2,,2,,,4,,46169540,796026.5,506388.5,884098.84,8000
2016-08-22,Mainland/Southwest,SQUAMISH-LILLOOET,120,114,5,2,1,,44,48,7,7,2,,2,,3,,1,87625478,730212.3,485000,1600782.6,7600
2016-08-01,Mainland/Southwest,SUNSHINE COAST,29,29,1,2,,1,19,3,,3,,,,,,,,19215153,662591.5,484000,324985,7680
2016-08-08,Mainland/Southwest,SUNSHINE COAST,22,22,1,,,,14,4,,3,,,,,,,,8741905,397359.3,346750,129510,4935
2016-08-15,Mainland/Southwest,SUNSHINE COAST,34,34,1,,,,24,9,,,,,,,,,,15515744,456345.4,399950,224225.32,5549
2016-08-22,Mainland/Southwest,SUNSHINE COAST,57,57,3,,,,42,10,,2,,,,,,,,27119071,475773.2,380000,376983,5235
2016-08-01,Nechako & North Coast,BULKLEY-NECHAKO,18,16,5,1,,,10,,,,1,1,,,,,1,5451117,302839.8,220000,80442.35,2400
