trans_period,DevelopmentRegion,RegionalDistrict,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT
2016-09-01,Cariboo,CARIBOO,44,42,13,2,1,1,24,1,,,,,,,1,,1,7312511,166193.4,158500,83749.11,1585
2016-09-08,Cariboo,CARIBOO,24,22,8,,2,1,10,1,,,,,,,,2,,4042001,168416.7,128500,53640.01,1285
2016-09-15,Cariboo,CARIBOO,55,48,18,,1,,24,5,,,4,2,,2,1,1,1,9753550,177337.3,140000,123815.5,1400
2016-09-22,Cariboo,CARIBOO,85,82,15,1,1,1,47,1,,16,2,2,,,,1,,21067588,247854,210000,294873.74,2200
2016-09-01,Cariboo,FRASER-FORT GEORGE,54,54,7,1,,,35,9,,2,,,,,,,,13277772,245884.7,223500,162513.42,2012.5
2016-09-08,Cariboo,FRASER-FORT GEORGE,47,46,6,,,,35,3,,2,,,,,1,,,11439771,243399.4,232500,145988.43,2650
2016-09-15,Cariboo,FRASER-FORT GEORGE,55,53,7,,,,42,3,,1,2,2,,,,,,13810136,251093.4,227900,172112.53,2400
2016-09-22,Cariboo,FRASER-FORT GEORGE,99,95,9,5,1,1,57,11,,11,2,1,,1,2,,,27322478,275984.6,262500,363060.88,3150
2016-09-01,Kootenay,CENTRAL KOOTENAY,31,30,6,,,,21,3,,,,,,,1,,,9812450,316530.6,354000,139296.5,5080
2016-09-08,Kootenay,CENTRAL KOOTENAY,27,27,3,,1,,22,1,,,,,,,,,,6939526,257019.5,220000,83557.57,2000
2016-09-15,Kootenay,CENTRAL KOOTENAY,45,44,7,,,2,26,5,,4,,,,,1,,,10039153,223092.3,192000,129499.53,1920
2016-09-22,Kootenay,CENTRAL KOOTENAY,67,65,14,4,,,30,6,,11,1,1,,,1,,,20878171,311614.5,302000,297544.39,4040
2016-09-01,Kootenay,EAST KOOTENAY,51,50,2,,,1,32,15,,,1,1,,,,,,14650822,287271,242500,200899.45,2850
2016-09-08,Kootenay,EAST KOOTENAY,30,30,1,1,1,,21,6,,,,,,,,,,7894876,263162.5,247750,107748.76,2955
2016-09-15,Kootenay,EAST KOOTENAY,37,35,3,1,1,,24,5,,1,,,,,2,,,11175400,302037.8,270000,163212.76,3400
2016-09-22,Kootenay,EAST KOOTENAY,95,87,3,1,1,,45,10,2,25,5,3,,2,2,,1,30013050,315926.8,263000,431984.5,3260
2016-09-01,Kootenay,KOOTENAY BOUNDARY,17,14,,,,,13,1,,,3,3,,,,,,3437700,202217.6,182000,43267,1820
2016-09-08,Kootenay,KOOTENAY BOUNDARY,10,10,1,,,,9,,,,,,,,,,,2794200,279420,213750,41693,2387.5
2016-09-15,Kootenay,KOOTENAY BOUNDARY,15,14,,,,,14,,,,,,,,1,,,2651037,176735.8,149236.5,30264.37,970
