trans_period,DevelopmentRegion,RegionalDistrict,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT
2016-06-01,Cariboo,CARIBOO,64,41,20,,1,,16,4,,,,,,,2,21,,11625343,181646,150000,148887.51,1500
2016-06-08,Cariboo,CARIBOO,45,40,14,2,3,,19,1,,1,2,2,,,1,2,,9047015,201044.8,175000,119627.05,1750
2016-06-15,Cariboo,CARIBOO,50,45,12,,2,4,24,1,,2,2,2,,,2,,1,14664389,293287.8,236500,211009.5,2730
2016-06-22,Cariboo,CARIBOO,137,117,35,1,5,2,71,1,,2,4,4,,,3,8,5,33479703,244377.4,232500,448915.22,2650
2016-06-01,Cariboo,FRASER-FORT GEORGE,70,63,11,1,1,2,44,1,,3,7,4,,3,,,,19615252,280217.9,230000,246280.96,2340
2016-06-08,Cariboo,FRASER-FORT GEORGE,49,42,8,,,,31,2,,1,6,6,,,1,,,16346909,333610.4,272500,242673.49,3400
2016-06-15,Cariboo,FRASER-FORT GEORGE,65,62,12,,,1,42,7,,,2,2,,,,1,,17447001,268415.4,275000,219719.63,3400
2016-06-22,Cariboo,FRASER-FORT GEORGE,158,157,25,1,1,,116,10,,4,,,,,1,,,44126740,279283.2,258700,579128.01,3100
2016-06-01,Kootenay,CENTRAL KOOTENAY,53,53,13,1,,2,32,3,,2,,,,,,,,14652791,276467.7,244000,204466.74,2800
2016-06-08,Kootenay,CENTRAL KOOTENAY,30,26,9,,,,15,1,,1,4,3,,1,,,,8847298,294909.9,265000,126805.22,3300
2016-06-15,Kootenay,CENTRAL KOOTENAY,39,38,12,3,1,,21,1,,,1,1,,,,,,9899115,253823.5,269000,131908.98,3380
2016-06-22,Kootenay,CENTRAL KOOTENAY,118,111,23,2,,1,75,9,,1,5,5,,,2,,,34079296,288807.6,240000,505389.96,2780
2016-06-01,Kootenay,EAST KOOTENAY,49,45,3,1,,,28,12,,1,2,2,,,2,,,11637826,237506.7,200000,150347.02,2000
2016-06-08,Kootenay,EAST KOOTENAY,31,28,3,,,,20,4,,1,3,3,,,,,,8855150,285650,250000,128406.5,3000
2016-06-15,Kootenay,EAST KOOTENAY,62,59,2,,2,2,41,11,,1,1,,,1,2,,,15896615,256397,224000,216940.92,2480
2016-06-22,Kootenay,EAST KOOTENAY,99,95,5,1,,,71,16,,2,2,1,,1,2,,,27111891,273857.5,250000,371314.69,2930
2016-06-01,Kootenay,KOOTENAY BOUNDARY,29,28,4,1,2,,15,6,,,,,,,1,,,6580500,226913.8,217000,84294,2340
2016-06-08,Kootenay,KOOTENAY BOUNDARY,17,17,2,1,,,14,,,,,,,,,,,3793800,223164.7,206000,47943,2120
2016-06-15,Kootenay,KOOTENAY BOUNDARY,31,30,4,,,,21,5,,,1,1,,,,,,6695090,215970.6,225000,80287.9,2200
2016-06-22,Kootenay,KOOTENAY BOUNDARY,73,69,11,,,,51,5,1,1,1,1,,,2,1,,16633242,227852.6,195000,219852.42,1950
