trans_period,DevelopmentRegion,RegionalDistrict,no_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT
2016-07-01,Cariboo,CARIBOO,25,23,9,,2,,11,1,,,,,,,2,,,4000650,160026,157000,49179,1570
2016-07-08,Cariboo,CARIBOO,50,47,19,1,,,22,5,,,,,,,3,,,8190413,163808.3,119750,100881,1197.5
2016-07-15,Cariboo,CARIBOO,61,54,23,1,1,,28,,,1,5,3,,2,2,,,12712136,208395.7,198000,161625.36,1980
2016-07-22,Cariboo,CARIBOO,94,90,26,1,2,1,58,2,,,1,1,,,1,2,,21000039,223404.7,207500,274785.39,2150
2016-07-01,Cariboo,FRASER-FORT GEORGE,46,44,12,,,,23,4,,5,,,,,2,,,12531271,272418.9,240000,154315,2750
2016-07-08,Cariboo,FRASER-FORT GEORGE,77,73,13,,,3,47,7,,3,1,1,,,2,1,,19510060,253377.4,260000,250110.2,3000
2016-07-15,Cariboo,FRASER-FORT GEORGE,74,70,10,,1,,41,3,,15,4,4,,,,,,20700191,279732.3,187500,323483.7,1772.5
2016-07-22,Cariboo,FRASER-FORT GEORGE,92,92,10,1,1,,71,7,,2,,,,,,,,23250710,252725.1,252750,290464.18,2940
2016-07-01,Kootenay,CENTRAL KOOTENAY,18,18,3,2,,,12,1,,,,,,,,,,4346515,241473.1,257750,57636.65,3155
2016-07-08,Kootenay,CENTRAL KOOTENAY,45,44,12,,,,31,1,,,,,,,,1,,10094230,224316.2,210000,130028.52,2200
2016-07-15,Kootenay,CENTRAL KOOTENAY,44,42,15,1,1,,24,1,,,,,,,2,,,11012722,250289.1,205000,149928.92,2100
2016-07-22,Kootenay,CENTRAL KOOTENAY,91,91,15,,3,,65,7,,1,,,,,,,,23067287,253486.7,240000,313434.87,2800
2016-07-01,Kootenay,EAST KOOTENAY,25,21,,,,,16,4,,1,,,,,4,,,5275598,211023.9,187500,68260.98,1875
2016-07-08,Kootenay,EAST KOOTENAY,32,31,3,,,,18,9,,1,,,,,1,,,8287935,258998,247500,107509.35,2600
2016-07-15,Kootenay,EAST KOOTENAY,56,54,1,1,2,,37,6,,7,1,1,,,1,,,15194850,271336.6,245000,203583.5,2900
2016-07-22,Kootenay,EAST KOOTENAY,71,62,4,,,2,47,9,,,4,4,,,5,,,19622738,276376.6,243280,276161.96,2865.6
2016-07-01,Kootenay,KOOTENAY BOUNDARY,13,13,2,,1,,10,,,,,,,,,,,2301950,177073.1,180000,28434.5,1800
2016-07-08,Kootenay,KOOTENAY BOUNDARY,14,12,2,,,,9,1,,,1,1,,,1,,,3149000,224928.6,234000,38620,2680
2016-07-15,Kootenay,KOOTENAY BOUNDARY,31,30,6,1,,,18,5,,,,,,,1,,,6290591,202922.3,198643.4,74259.88,1986.43
2016-07-22,Kootenay,KOOTENAY BOUNDARY,43,39,5,,,,28,4,,2,1,,,1,3,,,10739489,249755.6,210000,148047.78,2200
2016-07-01,Mainland/Southwest,FRASER VALLEY,241,228,7,,9,,148,53,1,10,8,5,2,1,5,,,98752478,409761.3,389000,1510548.45,5500
2016-07-08,Mainland/Southwest,FRASER VALLEY,274,269,9,1,3,3,166,72,2,13,1,1,,,3,1,,132071578,482013.1,439450,2025286.76,5916.5
2016-07-15,Mainland/Southwest,FRASER VALLEY,254,239,8,1,2,3,139,57,5,24,10,8,,2,5,,,117334385,461946.4,400000,1748409.22,5025
2016-07-22,Mainland/Southwest,FRASER VALLEY,662,649,19,,5,,409,188,,28,8,5,,3,,5,,314427588,474966.1,439950,4785516.57,6349
2016-07-01,Mainland/Southwest,METRO VANCOUVER,1378,1360,4,1,4,17,562,618,11,143,17,9,5,3,1,,,1494089439,1084244.9,700250,29990310.25,11779
2016-07-08,Mainland/Southwest,METRO VANCOUVER,1774,1740,13,4,5,11,610,639,3,455,28,9,16,3,1,2,3,1579742993,890497.7,589450,28826794.91,9200
2016-07-15,Mainland/Southwest,METRO VANCOUVER,1586,1553,12,9,3,19,624,635,13,238,23,9,8,6,,,10,1565037313,986782.7,680490,29720159.72,11468.15
2016-07-22,Mainland/Southwest,METRO VANCOUVER,4302,4233,42,5,13,27,1860,1872,15,399,63,11,35,17,,1,5,4601509410,1069621,714894,90550661.94,12180
2016-07-01,Mainland/Southwest,SQUAMISH-LILLOOET,51,44,2,6,,,14,13,4,5,2,,1,1,4,1,,21023775,412230.9,339000,337747.75,4780
2016-07-08,Mainland/Southwest,SQUAMISH-LILLOOET,62,34,1,1,,,19,9,3,1,26,,26,,2,,,37569183,605954.6,462727.5,628908.26,7254.55
2016-07-15,Mainland/Southwest,SQUAMISH-LILLOOET,57,54,1,,,1,19,16,6,11,,,,,3,,,30129068,528580.1,385000,469172.44,4900
2016-07-22,Mainland/Southwest,SQUAMISH-LILLOOET,115,108,8,,,1,36,55,6,2,3,1,2,,3,1,,69766457,606664.8,459000,1196600.85,7180
2016-07-01,Mainland/Southwest,SUNSHINE COAST,44,41,6,,,,30,5,,,,,,,2,,1,20919110,475434.3,421300,327541.77,6341
2016-07-08,Mainland/Southwest,SUNSHINE COAST,43,42,7,,,,29,5,,1,1,1,,,,,,18911340,439798.6,369000,290988.9,4990
2016-07-15,Mainland/Southwest,SUNSHINE COAST,39,37,5,1,,1,26,3,1,,,,,,2,,,17652953,452639.8,389000,277095.59,5780
2016-07-22,Mainland/Southwest,SUNSHINE COAST,91,89,10,1,,,65,11,,2,,,,,2,,,45096179,495562.4,419500,720515.73,6300
2016-07-01,Nechako & North Coast,BULKLEY-NECHAKO,12,11,2,1,,,8,,,,,,,,,1,,2143625,178635.4,173950,24996,1764
2016-07-08,Nechako & North Coast,BULKLEY-NECHAKO,20,19,8,,,,10,,,1,,,,,1,,,3125450,156272.5,163750,36732.5,1637.5
2016-07-15,Nechako & North Coast,BULKLEY-NECHAKO,42,37,15,,,,21,,,1,1,1,,,,3,1,7598500,180916.7,167450,95560.5,1674.5
2016-07-22,Nechako & North Coast,BULKLEY-NECHAKO,44,39,18,3,2,,15,,,1,4,4,,,,1,,7071490,160715.7,117500,87117.28,1040
2016-07-01,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,13,13,,,,,11,1,,1,,,,,,,,3191733,245517.9,220000,41714.65,2400
2016-07-08,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,25,25,3,,,,21,1,,,,,,,,,,5566796,222671.8,225000,76045.46,2500
2016-07-15,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,17,17,,1,,,14,2,,,,,,,,,,3570400,210023.5,198000,47194,1980
2016-07-22,Nechako & North Coast,KITIMAT-STIKINE-NORTH COAST,52,49,1,1,,,46,1,,,1,1,,,2,,,12177399,234180.8,227450,158577.98,2549
2016-07-01,Northeast,NORTHERN ROCKIES-PEACE RIVER,16,13,2,,,,11,,,,,,,,1,2,,4839463,302466.5,293000,70888.07,3860
2016-07-08,Northeast,NORTHERN ROCKIES-PEACE RIVER,26,18,2,1,,,15,,,,1,1,,,,6,1,4704483,180941.7,120000,61954.83,1200
2016-07-15,Northeast,NORTHERN ROCKIES-PEACE RIVER,25,24,4,,3,,17,,,,1,1,,,,,,8093700,323748,325000,112594,3486
2016-07-22,Northeast,NORTHERN ROCKIES-PEACE RIVER,46,36,9,,1,,23,2,,1,2,1,,1,,8,,11250746,244581.4,227500,139143,2181
2016-07-01,Thompson/Okanagan,CENTRAL OKANAGAN,146,144,7,1,,,95,35,,6,2,1,1,,,,,78591299,538296.6,490000,1245933.83,7250
2016-07-08,Thompson/Okanagan,CENTRAL OKANAGAN,195,194,5,,1,,118,59,,11,1,1,,,,,,94646186,485365.1,410000,1421023.32,5621
